Hips, 0, 0, 0
Spine, -0.0023, 6.6093, -0.1314
Spine1, 0.0000, 7.7108, -0.1533
Spine2, 0.0000, 8.8124, -0.1752
Neck, 0.0000, 9.9139, -0.1971
Head, 0.0000, 6.2212, -0.2928
Head_End, 0.0000, 23.6958, -0.0000
LeftShoulder, 3.5927, 8.5116, -0.2103
LeftArm, 7.2896, -2.7399, -0.0265
LeftForeArm, 22.2367, -0.0000, 0.0000
LeftHand, 22.8858, -0.0001, 0.0000
LeftHand_End, 6.4127, 0.0001, 0.0001
RightShoulder, -3.5927, 8.5117, -0.1839
RightArm, -7.2895, -2.7403, 0.0265
RightForeArm, -22.2378, -0.0008, 0.0000
RightHand, -22.8859, -0.0008, -0.0000
RightHand_End, -6.2854, -0.0002, 0.0001
LeftUpLeg, 5.9742, -11.5380, -0.1230
LeftLeg, 0.1983, -31.4454, 1.3824
LeftFoot, -0.1987, -46.0374, -3.7507
LeftToeBase, 0.0880, -7.3548, 11.8802
LeftToeBase_End, 0.2236, 0.0011, 5.2320
RightUpLeg, -5.9662, -11.5422, -0.1231
RightLeg, -0.1986, -31.4588, 1.0247
RightFoot, 0.1983, -46.0193, -3.3925
RightToeBase, -0.0880, -7.3547, 11.3113
RightToeBase_End, -0.2236, 0.0011, 5.0484
