Hips, 0, 0, 0
Spine, -0.0072, 11.2330, -0.9738
Spine1, -0.0000, 13.1052, -1.1360
Spine2, -0.0000, 14.9773, -1.2983
Neck, -0.0000, 16.8495, -1.4606
Head, 0.0000, 8.3951, 2.7518
Head_End, -0.0000, 21.6364, 0.0000
LeftShoulder, 7.2655, 15.0419, -1.5109
LeftArm, 14.7059, -3.4192, -0.1006
LeftForeArm, 22.6446, 0.0000, 0.0000
LeftHand, 27.2925, 0.0000, -0.0000
LeftHand_End, 11.6724, 0.0000, -0.0000
RightShoulder, -7.2655, 15.0419, -1.4103
RightArm, -14.7059, -3.4193, 0.1006
RightForeArm, -22.6636, -0.0003, 0.0000
RightHand, -27.2792, -0.0004, 0.0000
RightHand_End, -11.8601, -0.0001, -0.0001
LeftUpLeg, 10.3696, -6.2326, 0.1585
LeftLeg, -0.0763, -43.4440, -0.1927
LeftFoot, 0.0767, -39.8538, -2.4398
LeftToeBase, 5.7372, -9.5070, 13.0040
LeftToeBase_End, 2.4878, 0.0943, 5.9246
RightUpLeg, -10.3615, -6.2460, 0.0421
RightLeg, 0.0766, -43.4297, -0.3812
RightFoot, -0.0766, -39.8548, -2.1345
RightToeBase, -5.7372, -9.5070, 12.3517
RightToeBase_End, -2.4878, 0.0943, 5.7870
