Hips, 0, 0, 0
Spine, -0.0381, 9.4905, -1.3921
Spine1, -0.0442, 11.0723, -1.6241
Spine2, -0.0506, 12.6540, -1.8561
Neck, -0.0569, 14.2358, -2.0881
Head, -0.0000, 3.2802, 0.3133
Head_End, -0.0000, 25.7703, 0.0000
LeftShoulder, 6.7288, 11.7566, -2.0585
LeftArm, 14.0942, -3.1808, 0.0593
LeftForeArm, 23.1603, 0.0004, 0.0000
LeftHand, 24.0717, 0.0004, 0.0000
LeftHand_End, 14.4098, 0.0002, 0.0000
RightShoulder, -6.7288, 11.7568, -2.0585
RightArm, -14.0944, -3.1803, 0.0593
RightForeArm, -23.1603, 0.0015, 0.0000
RightHand, -24.0717, 0.0015, 0.0000
RightHand_End, -14.4098, 0.0009, 0.0000
RightUpLeg, -9.9410, -5.2724, -1.0109
RightLeg, 0.0000, -43.3442, 1.3389
RightFoot, 0.0000, -44.3006, -4.1338
RightToeBase, -2.5972, -13.2152, 14.7855
RightToeBase_End, -1.3076, 0.0274, 9.9141
LeftUpLeg, 9.6183, -5.2723, -1.0109
LeftLeg, 0.0000, -43.3443, 1.3391
LeftFoot, 0.0000, -44.3005, -4.1341
LeftToeBase, 2.5972, -13.2152, 14.7855
LeftToeBase_End, 1.3075, 0.0274, 9.9141
