Hips, 0, 0, 0
LowerBack, -0.0604, 0.0379, -7.9057
Spine, 0.0543, 10.7449, 2.0475
Spine1, -0.0008, 13.5028, 1.6024
Neck, -0.4651, 30.3120, 5.8704
Head, 0.7279, 9.1331, 2.7823
Head_End, 0.3935, 16.6137, 0.9517
LeftShoulder, 2.0486, 27.8695, 3.0290
LeftArm, 20.1510, -0.9476, 0.6810
LeftForeArm, 26.7841, -1.0446, 0.2238
LeftHand, 26.6786, 0.2801, 0.4380
LeftHand_End, 18.6090, 0.2760, 0.4239
RightShoulder, -3.0801, 27.7824, 3.0440
RightArm, -18.9490, -0.9054, 1.1575
RightForeArm, -28.8451, -0.0667, -1.0723
RightHand, -26.5103, 0.0210, 0.2650
RightHand_End, -18.2141, 0.1956, 0.2486
LeftUpLeg, 10.2018, -5.1981, -0.1128
LeftLeg, 1.1007, -42.8731, -0.7115
LeftFoot, -0.6199, -42.8002, -1.4314
LeftToeBase, 1.0966, -3.8857, 13.5650
LeftToeBase_End, 0.4813, -0.4521, 5.2655
RightUpLeg, -10.6844, -5.0565, -0.1021
RightLeg, -0.3316, -42.8382, -1.2287
RightFoot, 0.3560, -42.8046, -2.0809
RightToeBase, 0.0182, -5.3118, 13.1670
RightToeBase_End, -0.7253, -0.5923, 5.2234
