Hips, 0, 0, 0
LeftUpLeg, 7.8795, 0.0000, 0.0000
LeftLeg, 0.0000, -42.7566, 0.0000
LeftFoot, 0.0000, -39.4685, 0.0000
LeftToeBase, 0.0000, -3.9971, 14.9173
LeftToeBase_End, 0.0000, 0.0000, 7.5000
RightUpLeg, -7.8795, 0.0000, 0.0000
RightLeg, 0.0000, -42.7566, 0.0000
RightFoot, 0.0000, -39.4685, 0.0000
RightToeBase, 0.0000, -3.9971, 14.9173
RightToeBase_End, 0.0000, 0.0000, 7.5000
Spine, 0.0000, 0.1000, 0.0000
Spine1, 0.0000, 21.1086, 0.0000
Neck, 0.0000, 15.8868, 0.0000
Head, 0.0000, 21.8648, 0.0000
Head_End, 0.0000, 11.5000, 0.0000
LeftShoulder, 0.0000, 15.8868, 0.0000
LeftArm, 18.9194, -0.0001, 0.0000
LeftForeArm, 27.2680, -0.0001, 0.0000
LeftHand, 25.8023, -0.0001, 0.0000
LeftHand_End, 10.0000, -0.0000, 0.0000
RightShoulder, 0.0000, 15.8868, 0.0000
RightArm, -18.9194, -0.0001, 0.0000
RightForeArm, -27.2680, -0.0001, 0.0000
RightHand, -25.8023, -0.0001, 0.0000
RightHand_End, -13.7000, -0.0001, 0.0000
